Model,Dataset,Method,core_energy,sram_energy,dram_energy,execution_time
llava_vid,videomme,GPU,1.24E+06,0,0,288.7923911
llava_vid,videomme,GPU+FF,370559.0773,0,0,86.6278
llava_vid,mlvu,GPU,1.30E+06,0,0,288.2108578
llava_vid,mlvu,GPU+FF,388815.3413,0,0,86.45336
llava_vid,mvbench,GPU,3.46E+05,0,0,73.38855254
llava_vid,mvbench,GPU+FF,103724.7848,0,0,22.0129
llava_onevision,videomme,GPU,7.57E+05,0,0,196.6703242
llava_onevision,videomme,GPU+FF,227096.2894,0,0,59.01364
llava_onevision,mlvu,GPU,7.52E+05,0,0,196.4902291
llava_onevision,mlvu,GPU+FF,225579.4296,0,0,58.9596
llava_onevision,mvbench,GPU,7.52E+05,0,0,196.6218011
llava_onevision,mvbench,GPU+FF,225647.8814,0,0,58.99908
minicpm_v,videomme,GPU,1.59E+06,0,0,319.2691545
minicpm_v,videomme,GPU+FF,478277.4568,0,0,95.78576
minicpm_v,mlvu,GPU,1.60E+06,0,0,320.6382828
minicpm_v,mlvu,GPU+FF,480386.1816,0,0,96.19652
minicpm_v,mvbench,GPU,1.94E+04,0,0,11.87926612
minicpm_v,mvbench,GPU+FF,5835.3792,0,0,3.5756
