component,area,power,energy
Systolic Array,1.41112515,324.3681,12035.090585123022
Cosine Similarity (SIC),0.01589691,6.1991,230.0063725324288
L2 Norm (SIC),0.00347558,0.5827,21.6200276289536
Max Unit (SIC),5.63929e-05,0.0198,0.7346431217664001
Average Update (SIC),0.00123139,1.3418,49.78505761546241
Accumulator (SIC),0.0050609,1.5478,57.4283143368704
Max Unit (SEC),0.0018045728,0.6336,23.508579896524804
Importance Vector Buffer (SEC),0.0588,5.570046,206.6664637284065
FP16 Exp (SFU),0.20565504,78.72,2920.7629568409598
FP16 Sqrt (SFU),0.012823979999999999,1.6278,60.396569374310396
FP16 Reciprocal (SFU),0.00158532,0.6594,24.4658421460992
FP16 Mul (SFU),0.08878272000000001,70.25280000000001,2606.602843678311
FP16 Add (SFU),0.0151827072,4.6434,172.2849430106112
input,0.2208,33.054480000000005,1226.4265846244969
wgt,0.038099999999999995,3.924531000000001,145.61261137924305
concentrate_out,0.2208,33.054480000000005,1226.4265846244969
output,0.6976,119.46528,4432.5427394897515
layouter,0.0912,33.449760000000005,1241.092732764488
similarity_map,0.0051,0.727218,26.982106147713026
similarity_table,0.1104,16.527240000000003,613.2132923122484
dram,0.0,1049.9398470433796,38956.115499943684
