model,dataset,accelerator,execution_time,total_cycles,total_compute_cycles,total_stall_cycles,total_energy,total_dram_access,dram_bandwidth,dense_ops,num_ops,mem_counter_total,total_activation,dram_energy,sram_energy,core_energy
llava_vid,videomme,adaptiv,97.942749184,48971374592.0,48971374592.0,0,205138.0151263004,900142258176.0,18.38098819311165,89621908160512,42879712755712.01,mem_counter,62441318688,89996.22297243649,31355.18800284745,83786.60415101644
llava_vid,mlvu,adaptiv,136.718761984,68359380992.0,68359380992.0,0,282120.1184621241,1214174118707.2,17.76163126534591,89621908160512,60479399631235.2,mem_counter,116262384071,121393.12838834588,43768.860086532826,116958.12998724538
llava_vid,mvbench,adaptiv,19.342684928,9671342464.0,9671342464.0,0,40015.99210172072,172801292271.6019,17.867353256781737,16000598548480,9428548159103.334,mem_counter,6485637363,17276.67320131476,6192.326920065269,16546.991980340692
llava_onevision,videomme,adaptiv,60.56845312,30284226560.0,30284226560.0,0,124897.58557989604,537038696857.5999,17.73328091419482,44874254516224,28359069296213.6,mem_counter,34408378688,53693.128911822845,19390.25859945431,51814.19806861888
llava_onevision,mlvu,adaptiv,58.622427136,29311213568.0,29311213568.0,0,120040.70349203877,511342277017.6,17.44527826633043,44874254516224,27128461551189.6,mem_counter,31892662105,51124.00085621966,18767.2618886706,50149.44074714851
llava_onevision,mvbench,adaptiv,55.70338816,27851694080.0,27851694080.0,0,115577.79280318116,501027417640.96,17.989118227488444,44874254516224,26013724110984.97,mem_counter,29693901287,50092.72121574319,17832.766822495025,47652.30476494296
minicpm_v,videomme,adaptiv,115.144056832,57572028416.0,57572028416.0,0,242588.29701307265,1072460447744.0,18.62815115692449,99383739678720,50412901367791.21,mem_counter,81373255111,107224.59556544514,36861.97885455827,98501.72259306922
minicpm_v,mlvu,adaptiv,132.171784192,66085892096.0,66085892096.0,0,274706.9208279614,1193492414464.0,18.05971557031064,99383739678720,57757434642420.79,mem_counter,104151620321,119325.37159811074,42313.20007391575,113068.34915593496
minicpm_v,mvbench,adaptiv,3.319878912,1659939456.0,1659939456.0,0,6420.662402058088,25183063739.09881,15.171073648543247,2639383240704,1317438261654.4695,mem_counter,557910537,2517.8027126350994,1062.819129539543,2840.0405598834445
llava_onevision,vqav2,adaptiv,9.068708992,4534354496.0,4534354496.0,0,19875.75355034469,92163951114.21738,20.32570483748463,21543243925504,4085605291316.529,mem_counter,2031783878,9214.551832399457,2903.2376337841765,7757.964084161063
llava_onevision,mme,adaptiv,13.739857152,6869928576.0,6869928576.0,0,27679.486631790813,115291748447.3158,16.782088368441837,10382639898624,6596041776309.663,mem_counter,3962617450,11526.869009762637,4398.649289738403,11753.968332289774
llava_onevision,mmbench,adaptiv,19.162798592,9581399296.0,9581399296.0,0,39430.39692597382,169059341330.3531,17.644535636974364,13812444463104,9302523751018.824,mem_counter,6402475770,16902.552946208703,6134.7384826218085,16393.105497143315
qwen2_5_vl,vqav2,adaptiv,3.320341248,1660170624.0,1660170624.0,0,6457.468417590628,25545761197.91732,15.387431164374894,2718669348864,1356143472304.278,mem_counter,576092815,2554.065204567773,1062.9671408249242,2840.4360721979297
qwen2_5_vl,mme,adaptiv,2.479177344,1239588672.0,1239588672.0,0,5098.010081714287,21839184819.04266,17.618090026433105,1788882880512,965615999087.9628,mem_counter,397413724,2183.481698207885,793.6786782192844,2120.849705287116
qwen2_5_vl,mmbench,adaptiv,2.47944704,1239723520.0,1239723520.0,0,5134.394905642823,22199934653.962456,17.907165828363453,1834948362240,1006378643217.4333,mem_counter,415639745,2219.5494667031667,793.7650181357568,2121.080420803899
