model,dataset,accelerator,execution_time,total_cycles,total_compute_cycles,total_stall_cycles,total_energy,total_dram_access,dram_bandwidth,dense_ops,num_ops,mem_counter_total,total_activation,dram_energy,sram_energy,core_energy
llava_vid,videomme,dense,191.873826816,95936913408.0,95936913408.0,0,366294.5127774448,2280999354368.0,23.776034409897868,0,0,mem_counter,241461362688,228054.31544971268,46088.66671207156,92151.53061566054
llava_vid,mlvu,dense,191.873826816,95936913408.0,95936913408.0,0,366294.5127774448,2280999354368.0,23.776034409897868,0,0,mem_counter,241461362688,228054.31544971268,46088.66671207156,92151.53061566054
llava_vid,mvbench,dense,34.950569472,17475284736.0,17475284736.0,0,64344.29915825708,391711397056.0,22.415165359168885,0,0,mem_counter,14611658880,39163.30547765888,8395.231254426551,16785.76242617165
llava_onevision,videomme,dense,96.742112768,48371056384.0,48371056384.0,0,181119.07287873625,1114411368448.0,23.03880567753366,0,0,mem_counter,77147406336,111418.84861743104,23237.744649048665,46462.47961225651
llava_onevision,mlvu,dense,96.742112768,48371056384.0,48371056384.0,0,181119.07287873625,1114411368448.0,23.03880567753366,0,0,mem_counter,77147406336,111418.84861743104,23237.744649048665,46462.47961225651
llava_onevision,mvbench,dense,96.742112768,48371056384.0,48371056384.0,0,181119.07287873625,1114411368448.0,23.03880567753366,0,0,mem_counter,77147406336,111418.84861743104,23237.744649048665,46462.47961225651
minicpm_v,videomme,dense,212.59615104,106298075520.0,106298075520.0,0,407288.1084793182,2541688389632.0,23.910953958463537,0,0,mem_counter,285742858240,254118.0051954074,51066.23092970346,102103.87235420736
minicpm_v,mlvu,dense,212.59615104,106298075520.0,106298075520.0,0,407288.1084793182,2541688389632.0,23.910953958463537,0,0,mem_counter,285742858240,254118.0051954074,51066.23092970346,102103.87235420736
minicpm_v,mvbench,dense,6.3489888,3174494400.0,3174494400.0,0,11585.659089909925,70127771840.0,22.09100505579724,0,0,mem_counter,1244643456,7011.3746285632005,1525.0460868875234,3049.2383744592
llava_onevision,vqav2,dense,47.100487168,23550243584.0,23550243584.0,0,86963.77160799186,530396801200.0,22.521924213147027,0,0,mem_counter,23313382176,53029.07218397601,11313.677801109745,22621.02162290611
llava_onevision,mme,dense,22.71053568,11355267840.0,11355267840.0,0,41670.96635626411,253136675008.0,22.292444227189623,0,0,mem_counter,7618429056,25308.604767299843,5455.138552127148,10907.22303683712
llava_onevision,mmbench,dense,30.658207104,15329103552.0,15329103552.0,0,56360.47676322226,342788764416.0,22.361957648285056,0,0,mem_counter,11662189056,34272.020666311684,7364.192983761835,14724.263113148736
qwen2_5_vl,vqav2,dense,6.50290368,3251451840.0,3251451840.0,0,11868.06468479542,71843253440.0,22.09574583149908,0,0,mem_counter,1289586816,7182.888478931201,1562.0169011150997,3123.15930474912
qwen2_5_vl,mme,dense,4.685221632,2342610816.0,2342610816.0,0,8541.982472107427,51674332976.0,22.058436946958928,0,0,mem_counter,790022688,5166.399810940481,1125.4042401338584,2250.178421033088
qwen2_5_vl,mmbench,dense,4.774829696,2387414848.0,2387414848.0,0,8706.019160975306,52669295616.0,22.061224784675545,0,0,mem_counter,813352960,5265.876175687681,1146.9283649451613,2293.214620342464
