model,dataset,accelerator,execution_time,total_cycles,total_compute_cycles,total_stall_cycles,total_energy,total_dram_access,dram_bandwidth,dense_ops,num_ops,mem_counter_total,total_activation,total_compression_ratio,dram_energy,sram_energy,core_energy
llava_vid,videomme,focus,37.103187968,18551593984.0,17563763896.0,987830088.0,66277.76535031984,389639082816.0,22.18425874562895,89621908160512,15400270190592,mem_counter,45298669632,tensor(1.8875),38956.11549994368,8912.296651342436,18409.35319903372
llava_vid,mlvu,focus,44.8372624,22418631200.0,21554913576.0,863717624.0,80654.24458213187,476469888832.0,22.104931534613915,89621908160512,19480363519232,mem_counter,46742475840,tensor(1.5225),47637.459485423366,10770.044447057311,22246.740649651187
llava_vid,mvbench,focus,8.334872672,4167436336.0,4102777784.0,64658552.0,15192.234198619912,90565008520.0,22.07407110206776,16000598548480,3448395978496,mem_counter,2901838208,tensor(1.5782),9054.6895518296,2002.0613287488168,4135.483318041495
llava_onevision,videomme,focus,19.331135488,9665567744.0,9380159208.0,285408536.0,34952.4524526101,207217414168.0,22.09103380583048,44874254516224,8306310679296,mem_counter,12370394392,tensor(1.5936),20717.597068516643,4643.396524981574,9591.458859111886
llava_onevision,mlvu,focus,22.06681344,11033406720.0,10759796712.0,273610008.0,39991.94046454203,237473651992.0,22.07045898247822,44874254516224,9718828947968,mem_counter,12883251480,tensor(1.3630),23742.61572616016,5300.514545993375,10948.81019238849
llava_onevision,mvbench,focus,16.850376256,8425188128.0,7818148576.0,607039552.0,29715.82517911883,173111870584.0,22.14231015197325,44874254516224,6510354237184,mem_counter,12459088248,tensor(2.3517),17307.724820988322,4047.51074246583,8360.58961566468
minicpm_v,videomme,focus,39.752396768,19876198384.0,18982148304.0,894050080.0,70660.56307583183,413963963824.0,21.808067095164763,99383739678720,17024908221440,mem_counter,44722154544,tensor(1.4890),41388.11710312353,9548.64452358754,19723.801449120765
minicpm_v,mlvu,focus,49.013674976,24506837488.0,23708839504.0,797997984.0,87640.85605426198,515590006064.0,21.74674158880754,99383739678720,21850519936000,mem_counter,46486498352,tensor(1.1901),51548.688806278726,11773.231231109708,24318.93601687355
minicpm_v,mvbench,focus,2.436363888,1218181944.0,1212625400.0,5556544.0,4476.618826866735,26830917892.0,22.126303714238546,2639383240704,633580283392,mem_counter,276490784,tensor(1.1772),2682.5551708421604,585.2218881892612,1208.841767835313
llava_onevision,vqav2,focus,10.6134168,5306708400.0,5224417128.0,82291272.0,19334.24566424899,115211552242.0,22.05251790185924,21543243925504,4524633754368,mem_counter,4022093264,tensor(1.4251),11518.850993155162,2549.374438862816,5266.020232231012
llava_onevision,mme,focus,5.333614272,2666807136.0,2635665144.0,31141992.0,9744.29141881651,58179450132.0,22.073915673409232,10382639898624,2040504053504,mem_counter,1323428240,tensor(1.5991),5816.781424197361,1281.150090307459,2646.3599043116897
llava_onevision,mmbench,focus,7.20635944,3603179720.0,3559768856.0,43410864.0,13158.764263621051,78537929136.0,22.06264853506545,13812444463104,2938076291584,mem_counter,2084046032,tensor(1.4111),7852.222155017281,1730.9890772963663,3575.553031307405
qwen2_5_vl,vqav2,focus,3.41288864,1706444320.0,1698117400.0,8326920.0,6263.591426040495,37511951268.0,22.090316763729057,2718669348864,1129901470208,mem_counter,518883208,tensor(1.4877),3750.44488777464,819.7860524521451,1693.3604858137091
qwen2_5_vl,mme,focus,2.373928592,1186964296.0,1181452776.0,5511520.0,4362.243456393846,26146781734.0,22.131042615621222,1788882880512,601423268096,mem_counter,264888616,tensor(1.9156),2614.15523776532,570.2247434709616,1177.8634751575646
qwen2_5_vl,mmbench,focus,2.687774432,1343887216.0,1338248520.0,5638696.0,4938.042399198643,29594396160.0,22.114275276762495,1834948362240,762029786112,mem_counter,325873152,tensor(1.5711),2958.8477280768,645.6114523241774,1333.5832187976653
